Date,Price,Open,High,Low,Change 
2018-01-24,119648.37,118477.3,119672.98,118148.47,0.01
2018-01-25,118604.05,119677.05,120320.47,118587.25,-0.01
2018-01-26,120701.92,118947.05,120701.92,118871.97,0.02
2018-01-29,120845.29,121341.2,121531.5,119397.98,0
2018-01-30,119303.1,120214.14,120948.62,119303.1,-0.01
2018-01-31,119528.79,119671.6,120361.12,119235.65,0
2018-02-01,119044.38,120016.04,120893.98,118659.42,0
2018-02-02,118119.4,119334.49,119585.23,117792.69,-0.01
2018-02-05,116852.68,117724.57,118121.16,116587.68,-0.01
2018-02-06,115457.3,114296.68,115892.76,113875.72,-0.01
2018-02-07,115570.19,116252.04,116515.71,115392.1,0
2018-02-08,114263.53,115874.93,116055.18,113891.82,-0.01
2018-02-09,113590.27,113146.05,114212.15,112503.82,-0.01
2018-02-12,114821.6,114593.06,115415.5,114524.22,0.01
2018-02-13,114494.5,115317.81,115670.07,114430.63,0
2018-02-14,113454.95,115328.89,115606.55,113248.77,-0.01
2018-02-15,116225.6,114641.74,116298.6,114641.74,0.02
2018-02-16,116510.97,116822.9,117517.62,115960.35,0
2018-02-19,115881.96,117074.69,117521.98,115457.4,-0.01
2018-02-20,113432.85,116286.98,116926.82,113267.97,-0.02
2018-02-21,116315.98,115021.06,116315.98,114748.59,0.03
2018-02-22,116840.94,116138.1,116993.45,115408.54,0
2018-02-23,117521.5,117439.65,117854.17,117033.94,0.01
2018-02-26,118791.91,118294.74,118912.52,118221,0.01
2018-02-27,118831.6,119033.75,119216.83,118460.35,0
2018-02-28,118950.76,118428.11,119245.29,118314.32,0
2018-03-01,117632.07,118629.7,119114.52,117398.69,-0.01
2018-03-02,116859.19,117323.03,117590.27,116265.23,-0.01
2018-03-05,116946.22,117033,117530.9,116591.88,0
2018-03-06,116709.93,117573.86,117720.2,116668.75,0
2018-03-07,116842.44,116330.76,116989.38,115929.73,0
2018-03-08,116567.08,116962.34,117395.54,116520.12,0
2018-03-09,116914.52,116927.3,117240.05,116495.41,0
2018-03-12,118411.44,117703.96,118787.06,117703.96,0.01
2018-03-13,118266.86,118527.75,118610.93,117668.68,0
2018-03-14,117592.67,118321.95,118978.24,117408.58,-0.01
2018-03-15,117201.54,117978.51,118149.33,117030.89,0
2018-03-16,117216.28,117611.34,117853.1,116829.39,0
2018-03-19,115450.26,117175.22,117207.94,115391.06,-0.02
2018-03-20,116431.78,116033.32,116727.53,115082.91,0.01
2018-03-21,117651.3,116613.26,117795.14,116481.13,0.01
2018-03-22,117110.25,118375.16,118589.72,117072.02,0
2018-03-23,116602.82,115914.31,116871.42,115559.53,0
2018-03-26,116420.34,117125.86,117549.73,116349.24,0
2018-03-27,116196.54,117599.23,117787.79,116196.54,0
2018-03-28,114129.3,115687.22,116024.73,113858.73,-0.02
2018-03-29,114844.56,113809.51,115084.12,113426.21,0.01
2018-03-30,114930.22,115534.41,115872.3,114695.72,0
2018-04-02,114442.1,115216.63,115390.46,114442.1,0
2018-04-03,114594.06,114290.44,114924.28,114019.6,0
2018-04-04,113975.62,114812.33,114893.85,113281.87,-0.01
2018-04-05,114947.58,114302.99,115318.94,114032.13,0.01
2018-04-06,114737.54,114645.67,115279.36,114284.69,0
2018-04-09,113156.08,115425.57,115465.01,112510.91,-0.01
2018-04-10,110712.7,113475.58,113524.6,110007.82,-0.02
2018-04-11,109253.2,110293.86,111534.67,106624.09,-0.01
2018-04-12,110235.41,109211.46,110354.67,108305.07,0.01
2018-04-13,109604.01,110715.29,110792.78,108981.13,-0.01
2018-04-16,110687.74,109860.89,111115.77,109850.8,0.01
2018-04-17,108744.79,111451.85,111620.98,108001.08,-0.02
2018-04-18,112099.01,108618.32,112099.01,107439.14,0.03
2018-04-19,112122.15,112111.56,112406.55,111597.37,0
2018-04-20,110932.48,111956.73,111973.26,110678.03,-0.01
2018-04-24,110058.62,110630.37,110851.33,109787.46,-0.01
2018-04-25,107401.38,110376.18,110520.51,106760.7,-0.02
2018-04-26,107015.13,107892.39,108224.92,106277.96,0
